=> creating model 'resnet34'
=> parameter : Namespace(arch='resnet34', batch_size=128, data='/home/user/winycg/dataset/ImageNet', epoch_prune=1, get_small=True, layer_begin=3, layer_end=3, layer_inter=1, lr=0.1, prefix='2021-12-25-9954', print_freq=5, rate=0.9, resume='/home/user/clh/momentum_pruning/logs/resnet34-rate-0.6//checkpoint.resnet34.2021-12-25-6993.pth.tar', save_dir='./small/resnet34/', skip_downsample=1, use_cuda=True, workers=12)
Compress Rate: 0.9
Layer Begin: 3
Layer End: 3
Layer Inter: 1
Epoch prune: 1
Skip downsample : 1
=> loading checkpoint '/home/user/clh/momentum_pruning/logs/resnet34-rate-0.6//checkpoint.resnet34.2021-12-25-6993.pth.tar'
=> loaded checkpoint '/home/user/clh/momentum_pruning/logs/resnet34-rate-0.6//checkpoint.resnet34.2021-12-25-6993.pth.tar' (epoch 79)
Test: [0/391]	Time 3.380 (3.380)	Loss 0.5170 (0.5170)	Prec@1 89.844 (89.844)	Prec@5 96.094 (96.094)
Test: [5/391]	Time 0.087 (0.640)	Loss 0.2387 (0.5571)	Prec@1 93.750 (85.417)	Prec@5 97.656 (95.573)
Test: [10/391]	Time 0.087 (0.404)	Loss 1.0234 (0.5633)	Prec@1 72.656 (85.724)	Prec@5 92.188 (95.597)
Test: [15/391]	Time 0.079 (0.304)	Loss 0.8481 (0.7138)	Prec@1 71.094 (81.152)	Prec@5 95.312 (94.434)
Test: [20/391]	Time 0.088 (0.252)	Loss 0.7261 (0.7775)	Prec@1 86.719 (79.427)	Prec@5 93.750 (93.787)
Test: [25/391]	Time 0.088 (0.225)	Loss 1.4765 (0.8943)	Prec@1 64.062 (76.292)	Prec@5 86.719 (93.059)
Test: [30/391]	Time 0.082 (0.203)	Loss 1.2479 (0.9087)	Prec@1 71.875 (75.454)	Prec@5 90.625 (93.271)
Test: [35/391]	Time 0.121 (0.188)	Loss 0.4090 (0.8504)	Prec@1 90.625 (77.279)	Prec@5 96.875 (93.707)
Test: [40/391]	Time 0.080 (0.184)	Loss 0.8265 (0.8156)	Prec@1 80.469 (78.220)	Prec@5 90.625 (93.902)
Test: [45/391]	Time 0.099 (0.174)	Loss 0.8156 (0.8244)	Prec@1 79.688 (78.346)	Prec@5 94.531 (93.784)
Test: [50/391]	Time 0.084 (0.177)	Loss 0.4213 (0.8374)	Prec@1 88.281 (78.110)	Prec@5 97.656 (93.704)
Test: [55/391]	Time 0.082 (0.169)	Loss 0.4889 (0.8031)	Prec@1 88.281 (78.948)	Prec@5 95.312 (93.987)
Test: [60/391]	Time 0.269 (0.167)	Loss 1.0055 (0.7899)	Prec@1 73.438 (79.316)	Prec@5 90.625 (94.019)
Test: [65/391]	Time 0.097 (0.162)	Loss 1.5446 (0.8151)	Prec@1 49.219 (78.492)	Prec@5 92.188 (93.939)
Test: [70/391]	Time 0.092 (0.157)	Loss 0.9238 (0.8219)	Prec@1 67.969 (78.235)	Prec@5 96.875 (94.047)
Test: [75/391]	Time 0.077 (0.155)	Loss 1.0825 (0.8335)	Prec@1 69.531 (77.930)	Prec@5 91.406 (93.976)
Test: [80/391]	Time 0.110 (0.151)	Loss 0.7929 (0.8321)	Prec@1 81.250 (77.961)	Prec@5 95.312 (94.155)
Test: [85/391]	Time 0.094 (0.151)	Loss 0.5787 (0.8243)	Prec@1 82.812 (78.152)	Prec@5 98.438 (94.241)
Test: [90/391]	Time 0.088 (0.148)	Loss 0.9358 (0.8330)	Prec@1 64.844 (77.988)	Prec@5 94.531 (94.188)
Test: [95/391]	Time 0.111 (0.146)	Loss 0.5402 (0.8335)	Prec@1 86.719 (77.767)	Prec@5 95.312 (94.255)
Test: [100/391]	Time 0.098 (0.144)	Loss 0.7351 (0.8289)	Prec@1 82.031 (77.731)	Prec@5 93.750 (94.338)
Test: [105/391]	Time 0.104 (0.143)	Loss 0.9124 (0.8242)	Prec@1 71.094 (77.646)	Prec@5 96.094 (94.421)
Test: [110/391]	Time 0.086 (0.141)	Loss 1.1653 (0.8337)	Prec@1 54.688 (77.337)	Prec@5 93.750 (94.390)
Test: [115/391]	Time 0.082 (0.139)	Loss 0.5610 (0.8279)	Prec@1 89.062 (77.640)	Prec@5 94.531 (94.430)
Test: [120/391]	Time 0.093 (0.142)	Loss 0.6883 (0.8290)	Prec@1 83.594 (77.628)	Prec@5 97.656 (94.473)
Test: [125/391]	Time 0.107 (0.140)	Loss 0.3212 (0.8320)	Prec@1 92.188 (77.555)	Prec@5 99.219 (94.475)
Test: [130/391]	Time 0.079 (0.144)	Loss 0.3075 (0.8212)	Prec@1 91.406 (77.916)	Prec@5 98.438 (94.531)
Test: [135/391]	Time 0.082 (0.142)	Loss 0.7694 (0.8182)	Prec@1 75.000 (78.050)	Prec@5 95.312 (94.554)
Test: [140/391]	Time 0.599 (0.144)	Loss 1.1845 (0.8213)	Prec@1 67.188 (77.876)	Prec@5 96.094 (94.614)
Test: [145/391]	Time 0.096 (0.142)	Loss 1.0778 (0.8199)	Prec@1 73.438 (77.986)	Prec@5 92.969 (94.585)
Test: [150/391]	Time 0.084 (0.140)	Loss 0.8128 (0.8265)	Prec@1 76.562 (77.830)	Prec@5 95.312 (94.511)
Test: [155/391]	Time 0.090 (0.142)	Loss 0.9133 (0.8262)	Prec@1 83.594 (77.985)	Prec@5 95.312 (94.486)
Test: [160/391]	Time 0.103 (0.140)	Loss 0.8905 (0.8349)	Prec@1 77.344 (77.766)	Prec@5 93.750 (94.415)
Test: [165/391]	Time 0.095 (0.145)	Loss 1.4416 (0.8571)	Prec@1 64.062 (77.283)	Prec@5 85.156 (94.202)
Test: [170/391]	Time 0.082 (0.143)	Loss 1.6850 (0.8668)	Prec@1 62.500 (77.092)	Prec@5 87.500 (94.088)
Test: [175/391]	Time 0.087 (0.141)	Loss 0.6947 (0.8783)	Prec@1 83.594 (76.864)	Prec@5 92.969 (93.954)
Test: [180/391]	Time 0.102 (0.142)	Loss 1.8873 (0.8942)	Prec@1 53.125 (76.528)	Prec@5 82.812 (93.728)
Test: [185/391]	Time 0.082 (0.141)	Loss 0.8935 (0.9080)	Prec@1 79.688 (76.298)	Prec@5 91.406 (93.532)
Test: [190/391]	Time 0.086 (0.141)	Loss 1.9891 (0.9285)	Prec@1 57.031 (75.834)	Prec@5 84.375 (93.316)
Test: [195/391]	Time 0.083 (0.140)	Loss 2.0425 (0.9461)	Prec@1 57.031 (75.518)	Prec@5 82.812 (93.088)
